127.0.0.1 - - [26/Mar/2022:23:16:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:16:11 +0530] "GET /jt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:16:11 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:16:11 +0530] "GET /jt/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:16:12 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:04 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:04 +0530] "GET /jt/index HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:26 +0530] "GET /jt/show_article HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:43 +0530] "GET /jt/show_novel HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:54 +0530] "GET /jt/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:17:54 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:18:04 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:18:04 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:18:07 +0530] "GET /jt/show_magazine HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:18:36 +0530] "GET /jt/show_novel HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:20:15 +0530] "GET /jt/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:20:15 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:20:21 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:20:21 +0530] "GET /jt/index HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:13 +0530] "GET /jt/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:13 +0530] "GET /jt/Login HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:32 +0530] "POST /jt/validateLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:32 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:36 +0530] "GET /jt/admin_page HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:22:38 +0530] "GET /jt/addBook HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:34:52 +0530] "GET /jt/index HTTP/1.1" 200 8627
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:34:55 +0530] "GET /jt/show_article HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [26/Mar/2022:23:35:13 +0530] "GET /jt/show_article HTTP/1.1" 200 746
